Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Satisfication Score,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn_Category
1309-BXVOQ,NaN,Female,NaN,No,No,Yes,Yes,3,United States,California,Thermal,92274,"33.53604, -116.119222",NaN,-116.119222,4,Q3,Yes,NaN,67,Offer A,Yes,11.4,Yes,Yes,Fiber Optic,27,No,Yes,No,Yes,Yes,No,No,Yes,NaN,No,Credit Card,94.1,NaN,0,0,763.8,7066.6,0
0744-BIKKF,1,NaN,37,No,No,Yes,Yes,3,United States,California,Madeline,96119,"41.042003, -120.506086",41.042003,-120.506086,4,Q3,NaN,10,50,None,Yes,10.13,No,No,None,0,No,No,No,No,No,No,No,No,NaN,NaN,NaN,20.55,NaN,0,NaN,506.5,1576.75,0
5016-IBERQ,1,Male,36,No,No,No,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
8387-UGUSU,1,Female,57,No,No,Yes,Yes,1,United States,California,Hacienda Heights,91745,"33.998471, -117.973758",33.998471,NaN,4,Q3,Yes,1,72,None,Yes,6.41,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,NaN,7657.4,0,0,461.52,8118.92,0
5840-NVDCG,NaN,Male,31,No,No,No,No,NaN,United States,California,Chester,NaN,"40.243494, -121.154733",40.243494,-121.154733,3,Q3,No,0,26,Offer C,Yes,31.73,No,No,None,0,No,No,No,No,No,No,No,NaN,Month-to-Month,No,Credit Card,20.9,518.3,NaN,0,824.98,1343.28,1
3842-QTGDL,1,Female,51,No,No,No,Yes,3,United States,California,Old Station,96071,"40.656287, -121.428965",40.656287,-121.428965,3,Q3,No,0,62,Offer B,Yes,2.83,NaN,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,26,1638.7,0,0,175.46,1814.16,0
1447-GIQMR,1,Male,51,No,NaN,No,No,0,United States,California,San Diego,92117,"32.825086, -117.199424",32.825086,-117.199424,1,Q3,No,NaN,69,Offer A,Yes,29.38,Yes,Yes,DSL,9,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,NaN,NaN,Credit Card,78.6,5356.45,0,0,2027.22,NaN,0
7861-UVUFT,1,Male,NaN,No,No,No,No,0,United States,California,NaN,95935,"39.381174, -121.21191",39.381174,-121.21191,2,Q3,No,0,58,Offer B,Yes,41.14,Yes,Yes,Fiber Optic,25,No,No,Yes,Yes,Yes,NaN,Yes,No,One Year,Yes,Bank Withdrawal,104.65,6219.6,0,40,2386.12,8645.72,0
5337-IIWKZ,1,Male,62,No,No,NaN,No,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,Q3,No,0,30,None,Yes,NaN,No,No,NaN,0,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,19.7,625.05,0,0,737.1,NaN,0
4312-KFRXN,1,Female,65,No,NaN,Yes,No,0,United States,NaN,NaN,95209,"38.044523, -121.348048",38.044523,-121.348048,NaN,Q3,Yes,1,NaN,None,Yes,22.33,Yes,Yes,NaN,6,No,No,Yes,No,NaN,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.05,2952.85,0,0,647.57,3600.42,0
9825-YCXWZ,1,Male,47,No,No,No,No,0,United States,California,Groveland,95321,"37.902968, -119.667544",37.902968,-119.667544,4,Q3,NaN,0,38,Offer C,Yes,4.34,NaN,Yes,Fiber Optic,26,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.85,3887.25,0,NaN,164.92,4052.17,0
6980-CDGFC,NaN,Male,34,No,No,Yes,No,0,United States,California,Topaz,96133,NaN,38.636052,-119.489162,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1251-STYSZ,1,Male,53,No,No,Yes,No,0,United States,California,Clearlake Oaks,95423,"39.07116, -122.598542",39.07116,-122.598542,4,Q3,Yes,1,61,None,Yes,NaN,Yes,Yes,DSL,20,Yes,Yes,Yes,Yes,No,Yes,Yes,NaN,Two Year,Yes,Bank Withdrawal,80.8,4860.85,NaN,0,NaN,7495.96,1
1143-NMNQJ,1,Male,61,No,No,No,No,0,United States,California,Coarsegold,93614,"37.212191, -119.749323",37.212191,NaN,4,Q3,No,0,3,None,Yes,44.97,No,Yes,Fiber Optic,16,Yes,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,82.3,NaN,0,NaN,134.91,369.31,3
5649-TJHOV,1,Male,40,NaN,No,Yes,Yes,2,United States,California,Woodland Hills,91364,"34.153733, -118.593408",NaN,-118.593408,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
3413-CSSTH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Tracy,95376,"37.680968, -121.446049",NaN,-121.446049,4,Q3,Yes,10,61,None,Yes,NaN,Yes,Yes,Cable,52,Yes,No,NaN,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,75.35,NaN,0,NaN,NaN,6486.1,0
5574-NXZIU,1,Male,24,Yes,No,Yes,No,0,United States,California,Morgan Hill,95037,"37.161544, -121.649371",37.161544,-121.649371,3,Q3,Yes,1,70,NaN,Yes,1.63,No,NaN,DSL,41,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,64.95,NaN,42.89,0,114.1,4594.46,0
6474-FVJLC,1,Female,27,Yes,No,Yes,Yes,1,United States,California,NaN,95119,"37.233226, -121.78809",NaN,NaN,5,Q3,Yes,6,13,Offer D,Yes,16.74,No,No,None,0,No,No,No,No,No,NaN,NaN,No,Month-to-Month,No,Credit Card,18.8,251.25,NaN,0,217.62,468.87,0
8169-SAEJD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,NaN,Castroville,95012,"36.784481, -121.759054",36.784481,-121.759054,5,Q3,No,0,21,None,Yes,22.53,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.35,422.7,0,0,473.13,895.83,0
4628-CTTLA,1,Female,54,No,NaN,Yes,No,0,United States,California,Santa Rosa,95407,"38.394091, -122.739814",NaN,-122.739814,NaN,NaN,Yes,8,37,None,Yes,15.51,No,No,None,NaN,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.85,717.5,0,0,573.87,1291.37,0
7758-UJWYS,1,Male,67,No,Yes,Yes,Yes,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Q3,Yes,4,72,None,NaN,16.82,No,Yes,Fiber Optic,25,Yes,No,Yes,NaN,Yes,Yes,No,No,Two Year,Yes,Credit Card,104.1,NaN,0,NaN,1211.04,8698.74,0
7369-TRPFD,1,Male,68,No,Yes,NaN,No,0,NaN,California,Pomona,91767,"34.083086, -117.737997",34.083086,-117.737997,3,Q3,Yes,3,NaN,None,Yes,NaN,Yes,Yes,Fiber Optic,NaN,No,Yes,No,Yes,Yes,NaN,No,Yes,One Year,No,Bank Withdrawal,107.05,NaN,0,0,551.2,NaN,0
7815-PDTHL,1,Female,40,No,No,No,No,0,United States,California,West Hollywood,NaN,"34.093781, -118.381061",34.093781,-118.381061,NaN,NaN,No,NaN,NaN,NaN,Yes,45.41,No,Yes,Fiber Optic,23,No,No,No,No,No,Yes,Yes,Yes,NaN,Yes,Bank Withdrawal,79.55,723.4,0,NaN,408.69,NaN,4
7633-MVPUY,1,Male,57,No,No,No,No,0,United States,California,Mount Laguna,91948,"32.830852, -116.444601",32.830852,NaN,4,Q3,No,0,24,Offer C,Yes,13.13,Yes,Yes,NaN,NaN,No,Yes,NaN,NaN,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,84.85,2048.8,0,80,315.12,2443.92,0
7739-LAXOG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Los Angeles,90011,"34.00709, -118.258681",34.00709,-118.258681,5,Q3,Yes,4,65,None,Yes,48.53,Yes,Yes,Fiber Optic,NaN,No,Yes,Yes,NaN,NaN,Yes,No,Yes,Two Year,NaN,Bank Withdrawal,NaN,7082.45,21.52,0,3154.45,10215.38,0
0074-HDKDG,1,Male,77,No,Yes,Yes,No,NaN,United States,California,NaN,NaN,"37.290606, -119.216328",37.290606,-119.216328,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
4816-OKWNX,1,NaN,67,No,Yes,No,No,0,United States,California,Morgan Hill,95037,"37.161544, -121.649371",37.161544,-121.649371,NaN,Q3,No,0,1,NaN,No,0,No,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,NaN,0,0,25.1,0
0670-ANMUU,1,Male,78,No,Yes,No,No,0,United States,California,Miranda,95553,NaN,40.210895,-123.86,4,Q3,No,0,57,Offer B,Yes,28.44,No,Yes,DSL,24,No,No,Yes,Yes,No,No,NaN,NaN,One Year,Yes,Bank Withdrawal,53.5,3035.8,0,NaN,1621.08,4656.88,0
8277-RVRSV,1,Male,39,No,No,Yes,No,0,United States,California,Los Angeles,90014,NaN,34.043144,-118.251977,3,Q3,Yes,7,NaN,Offer B,Yes,5.69,Yes,Yes,NaN,10,No,No,NaN,No,Yes,NaN,Yes,NaN,One Year,No,Credit Card,100.35,5681.1,0,NaN,330.02,6011.12,0
6711-FLDFB,1,Female,51,No,No,No,No,0,United States,California,San Pedro,90732,"33.744119, -118.31448",33.744119,-118.31448,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
3378-AJRAO,NaN,Female,48,No,No,Yes,Yes,NaN,United States,California,Montara,NaN,"37.540582, -122.509594",37.540582,-122.509594,3,Q3,Yes,NaN,65,None,Yes,NaN,Yes,No,None,NaN,No,No,No,No,No,No,NaN,No,Two Year,NaN,Credit Card,26,1654.85,0,0,191.75,1846.6,1
5353-WILCI,NaN,Female,53,No,NaN,No,No,0,United States,NaN,Birds Landing,94512,"38.140719, -121.838298",38.140719,-121.838298,4,Q3,No,0,1,None,Yes,1.15,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.1,70.1,0,0,1.15,71.25,2
5243-SAOTC,1,Male,32,NaN,No,No,No,0,United States,California,Lompoc,93436,"34.601055, -120.382917",34.601055,-120.382917,5,Q3,No,0,NaN,Offer E,NaN,15.16,No,NaN,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,NaN,19.4,50.6,0,NaN,30.32,80.92,0
4817-QRJSX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Hughson,95326,NaN,37.5923,-120.853288,NaN,Q3,Yes,1,20,None,Yes,8.98,No,Yes,DSL,16,No,Yes,NaN,No,NaN,Yes,No,Yes,One Year,Yes,Bank Withdrawal,60,1259.35,0,0,179.6,1438.95,0
4998-IKFSE,1,Male,39,No,No,Yes,Yes,3,United States,NaN,Boonville,95415,NaN,NaN,-123.381544,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
5924-SNGKP,NaN,Male,78,No,Yes,No,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,Q3,No,0,35,None,Yes,26.19,Yes,Yes,Fiber Optic,19,Yes,No,No,No,No,Yes,No,No,Month-to-Month,No,Credit Card,NaN,3180.5,0,40,916.65,4137.15,0
9134-WYRVP,1,Female,NaN,NaN,No,Yes,Yes,2,United States,California,Johannesburg,93528,"35.363339, -117.637641",35.363339,-117.637641,1,Q3,Yes,1,2,None,NaN,27.27,No,Yes,DSL,51,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,65.7,134.35,0,0,54.54,188.89,1
6119-SPUDB,1,Male,NaN,No,No,Yes,No,0,United States,California,NaN,94117,NaN,37.770533,-122.445121,3,Q3,Yes,1,NaN,Offer C,NaN,NaN,Yes,Yes,Fiber Optic,NaN,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.05,2866.45,0,0,315,3181.45,1
3198-VELRD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Hydesville,NaN,"40.557314, -124.081662",40.557314,-124.081662,NaN,Q3,Yes,4,NaN,Offer B,Yes,43.57,No,Yes,DSL,30,Yes,NaN,Yes,Yes,No,No,No,Yes,One Year,Yes,NaN,65.85,3928.3,0,0,2614.2,6542.5,0
4750-ZRXIU,1,Male,NaN,No,No,Yes,NaN,0,United States,California,Mountain Ranch,95246,"38.264262, -120.515133",38.264262,-120.515133,1,Q3,Yes,1,29,None,Yes,40.49,No,Yes,Fiber Optic,NaN,NaN,No,No,No,Yes,Yes,Yes,NaN,NaN,No,Credit Card,94.65,2649.15,0,0,NaN,3823.36,0
9497-QCMMS,1,NaN,35,No,No,No,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Q3,No,0,22,Offer D,Yes,11.46,Yes,Yes,Fiber Optic,16,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,83.05,1799.3,0,0,NaN,2051.42,3
5311-IHLEI,1,Male,51,No,No,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,Q3,Yes,8,69,Offer A,Yes,33.37,NaN,Yes,Fiber Optic,24,Yes,NaN,Yes,Yes,NaN,Yes,Yes,Yes,NaN,Yes,Credit Card,107.2,7317.1,0,0,2302.53,9619.63,0
1636-NTNCO,1,Female,47,NaN,No,No,No,0,United States,California,NaN,91506,"34.169706, -118.323548",34.169706,-118.323548,NaN,Q3,No,0,29,None,Yes,4.53,Yes,No,NaN,0,No,No,No,No,No,No,NaN,No,Month-to-Month,No,Bank Withdrawal,25.15,702,0,0,131.37,833.37,3
5204-QZXPU,1,NaN,NaN,Yes,No,No,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Q3,No,0,60,None,Yes,NaN,Yes,NaN,Fiber Optic,NaN,No,NaN,Yes,No,No,No,NaN,Yes,NaN,Yes,Bank Withdrawal,NaN,4765,0,0,917.4,5682.4,0
4433-JCGCG,1,Male,24,Yes,No,Yes,NaN,2,United States,California,Anaheim,92802,NaN,33.807864,-117.923782,3,Q3,Yes,3,45,Offer B,Yes,39.03,No,No,None,0,No,No,No,NaN,NaN,No,No,No,Two Year,No,Credit Card,NaN,929.2,0,0,1756.35,2685.55,0
4301-VVZKA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,California,Artesia,90701,"33.867593, -118.080637",33.867593,-118.080637,4,Q3,Yes,8,63,None,NaN,10.67,Yes,NaN,Fiber Optic,NaN,No,Yes,NaN,NaN,Yes,Yes,Yes,Yes,NaN,Yes,Bank Withdrawal,109.25,6841.4,0,0,672.21,NaN,1
7126-RBHSD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,Q3,No,0,1,None,Yes,20.06,No,NaN,NaN,24,NaN,No,No,No,Yes,No,No,Yes,NaN,Yes,NaN,79.2,NaN,0,0,20.06,99.26,0
8573-JGCZW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,Q3,Yes,1,37,None,No,0,No,Yes,NaN,NaN,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0,0,0,1448.8,3
3806-YAZOV,1,Female,24,Yes,No,Yes,Yes,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,5,Q3,Yes,10,8,None,Yes,31.86,No,Yes,Cable,59,No,Yes,No,Yes,No,No,No,NaN,Month-to-Month,No,Bank Withdrawal,56.3,401.5,0,NaN,254.88,686.38,0
9979-RGMZT,1,Female,NaN,No,NaN,No,No,0,NaN,California,San Diego,92121,"32.898613, -117.202937",32.898613,-117.202937,NaN,Q3,No,0,16,Offer D,Yes,22.3,No,Yes,Fiber Optic,28,No,Yes,NaN,No,NaN,Yes,Yes,Yes,Month-to-Month,NaN,Bank Withdrawal,86.25,1340.1,0,0,356.8,1696.9,0
2346-CZYIL,1,Female,NaN,No,No,Yes,No,0,United States,NaN,San Bernardino,92408,"34.084909, -117.258107",34.084909,-117.258107,3,Q3,Yes,2,10,None,NaN,0,No,Yes,Cable,20,Yes,No,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,52.55,525.5,0,0,0,525.5,0
6447-EGDIV,NaN,Male,66,No,Yes,Yes,No,0,United States,NaN,Fresno,93722,"36.78979, -119.929894",36.78979,-119.929894,NaN,Q3,Yes,1,34,None,Yes,NaN,Yes,Yes,Fiber Optic,16,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.55,NaN,0,0,70.38,2495.78,3
3387-VATUS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Santa Monica,90401,NaN,34.015481,-118.493231,4,Q3,No,0,62,Offer B,Yes,38.33,No,Yes,Cable,30,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,NaN,4698.05,0,0,2376.46,7074.51,1
6061-GWWAV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Descanso,91916,"32.912664, -116.635387",32.912664,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
8961-QDZZJ,1,Male,49,No,No,No,No,0,United States,California,Cerritos,90703,"33.8681, -118.067402",33.8681,-118.067402,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
9046-JBFWA,1,Female,29,Yes,No,No,No,0,United States,California,NaN,95608,"38.626128, -121.328011",38.626128,-121.328011,4,NaN,No,0,60,Offer B,No,NaN,No,Yes,DSL,NaN,Yes,NaN,Yes,No,No,Yes,Yes,NaN,One Year,Yes,Bank Withdrawal,44.45,2773.9,0,NaN,0,2773.9,0
7268-IGMFD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No,0,NaN,None,Yes,6.19,No,Yes,NaN,52,Yes,No,No,No,No,NaN,Yes,Yes,Month-to-Month,NaN,Credit Card,NaN,73.6,0,0,6.19,79.79,4
2874-YXVVA,1,Female,58,No,No,No,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,Q3,No,0,1,Offer E,Yes,46.17,No,NaN,Fiber Optic,30,No,No,NaN,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.1,70.1,0,NaN,46.17,116.27,0
2039-JONDJ,1,NaN,79,No,NaN,Yes,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,Q3,Yes,9,64,Offer B,Yes,NaN,Yes,Yes,Fiber Optic,29,No,Yes,Yes,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,94.25,6081.4,0,NaN,1493.12,7574.52,0
2282-YGNOR,1,Female,43,NaN,NaN,No,Yes,1,United States,California,Los Gatos,95030,"37.222842, -121.988727",NaN,-121.988727,NaN,Q3,NaN,0,12,Offer D,Yes,NaN,Yes,NaN,Fiber Optic,23,No,No,NaN,No,No,No,No,NaN,Month-to-Month,Yes,Bank Withdrawal,76.6,893,0,NaN,313.56,1206.56,0
5099-BAILX,1,Male,NaN,No,Yes,No,No,0,United States,California,Pacifica,94044,"37.573633, -122.455167",NaN,-122.455167,4,Q3,No,0,32,NaN,Yes,1.12,Yes,Yes,Fiber Optic,5,No,No,Yes,No,No,No,No,NaN,One Year,Yes,Credit Card,81.1,NaN,19.25,0,35.84,NaN,0
6922-NCEDI,1,Male,59,No,No,No,No,0,United States,California,Los Angeles,90028,"34.099869, -118.326843",NaN,-118.326843,2,Q3,No,0,8,None,Yes,35.53,NaN,Yes,Cable,5,No,No,No,No,NaN,No,No,Yes,Month-to-Month,NaN,Credit Card,45.15,438.4,0,0,NaN,722.64,0
2660-EMUBI,1,Female,46,No,No,No,No,0,United States,California,Union City,94587,"37.59485, -122.051521",37.59485,-122.051521,NaN,Q3,No,0,7,Offer E,NaN,48.36,No,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,NaN,Yes,Bank Withdrawal,95.35,660.9,34.29,0,338.52,965.13,2
1363-TXLSL,1,NaN,NaN,Yes,No,Yes,Yes,2,United States,NaN,NaN,96061,"40.331975, -121.460674",NaN,-121.460674,3,Q3,Yes,5,53,None,Yes,24.33,No,Yes,Fiber Optic,52,No,Yes,No,Yes,Yes,NaN,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.55,4779.45,0,0,1289.49,6068.94,0
5334-AFQJB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Redding,96003,NaN,40.677649,-122.29467,4,Q3,No,0,52,Offer B,Yes,5.42,Yes,Yes,Fiber Optic,22,No,Yes,NaN,No,Yes,Yes,Yes,Yes,Month-to-Month,NaN,Bank Withdrawal,103.05,5364.8,46.67,0,281.84,5599.97,0
6060-QBMGV,1,NaN,26,Yes,No,No,No,0,United States,California,Happy Camp,96039,"41.831901, -123.487478",41.831901,-123.487478,NaN,Q3,No,0,38,None,Yes,36.18,No,Yes,Fiber Optic,NaN,Yes,NaN,Yes,No,No,NaN,Yes,Yes,Month-to-Month,Yes,Credit Card,83.9,3233.6,0,0,1374.84,4608.44,0
6087-MVHJH,1,Male,29,Yes,No,Yes,No,0,United States,California,Yuba City,95991,"39.02741, -121.614982",NaN,-121.614982,4,Q3,Yes,5,17,Offer D,No,0,No,Yes,DSL,27,No,No,Yes,Yes,Yes,Yes,Yes,NaN,One Year,No,Bank Withdrawal,NaN,934.8,47.73,NaN,0,887.07,4
5751-USDBL,NaN,Female,54,No,No,NaN,No,0,United States,California,Arcadia,91006,"34.137319, -118.029837",NaN,NaN,5,Q3,No,0,2,NaN,Yes,15.67,No,NaN,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.7,135.2,0,0,31.34,166.54,0
1702-CCFNJ,1,Female,59,No,NaN,Yes,Yes,2,United States,California,Upper Lake,95485,NaN,39.220368,-122.907693,4,Q3,Yes,2,52,Offer B,Yes,10.03,No,NaN,Cable,29,No,No,Yes,NaN,No,No,No,Yes,One Year,Yes,Bank Withdrawal,50.95,2610.65,0,0,521.56,3132.21,0
4657-FWVFY,1,Female,19,NaN,No,No,No,NaN,United States,California,Santa Cruz,95065,NaN,37.031404,-121.981865,1,Q3,No,0,1,None,Yes,40.48,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.95,20.95,NaN,0,NaN,61.43,4
0080-OROZO,1,Female,NaN,No,Yes,No,No,0,NaN,California,Cressey,95312,"37.420273, -120.66527",NaN,-120.66527,NaN,Q3,No,NaN,66,Offer A,Yes,36.48,Yes,Yes,NaN,5,Yes,Yes,No,Yes,No,NaN,No,Yes,One Year,NaN,Credit Card,63.85,4174.35,NaN,0,2407.68,6582.03,2
3308-DGHKL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,Q3,Yes,7,NaN,Offer D,Yes,46.71,Yes,Yes,Fiber Optic,8,NaN,Yes,NaN,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.5,1336.9,0,0,794.07,NaN,0
1525-LNLOJ,1,NaN,NaN,No,No,Yes,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,Q3,Yes,7,54,Offer B,Yes,NaN,Yes,Yes,Fiber Optic,26,NaN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,NaN,114.65,6049.5,0,NaN,615.6,6665.1,0
0511-JTEOY,1,Female,NaN,No,NaN,Yes,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,Q3,Yes,1,13,None,Yes,17.83,No,Yes,Fiber Optic,10,No,No,No,NaN,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,88.35,1222.8,0,0,231.79,1454.59,0
6994-KERXL,1,Female,73,No,NaN,No,No,0,NaN,California,Newcastle,95658,"38.883224, -121.15918",38.883224,-121.15918,1,Q3,No,NaN,2,None,No,0,No,Yes,DSL,13,NaN,No,Yes,No,No,NaN,No,Yes,Month-to-Month,Yes,Bank Withdrawal,NaN,78.65,0,0,0,78.65,0
2592-HODOV,1,Male,NaN,No,No,No,Yes,3,United States,California,Los Angeles,NaN,"34.110845, -118.259595",34.110845,-118.259595,1,Q3,No,0,NaN,None,Yes,12.6,No,Yes,Fiber Optic,NaN,No,No,NaN,No,NaN,NaN,No,Yes,NaN,NaN,Bank Withdrawal,69.7,316.9,0,NaN,63,379.9,1
9385-NXKDA,1,Male,61,NaN,No,Yes,No,NaN,United States,California,Sunland,91040,"34.282704, -118.312929",34.282704,-118.312929,3,Q3,Yes,6,NaN,None,Yes,15.2,No,Yes,Fiber Optic,21,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,NaN,NaN,3539.25,NaN,0,653.6,4192.85,0
1297-VQDRP,1,Female,42,No,No,No,No,0,United States,California,Palo Cedro,96073,"40.582399, -122.195512",40.582399,-122.195512,NaN,Q3,No,0,72,None,Yes,24.19,Yes,Yes,Fiber Optic,13,No,NaN,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.6,8012.75,0,0,1741.68,9754.43,0
3847-BAERP,1,Male,67,No,Yes,No,No,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,Q3,NaN,0,51,None,Yes,3.11,NaN,No,None,0,No,NaN,No,No,No,No,No,No,NaN,No,Bank Withdrawal,25,1260.7,0,0,NaN,1419.31,0
0463-ZSDNT,NaN,Male,NaN,No,NaN,No,No,0,United States,California,Santa Cruz,95062,"36.974575, -121.991149",36.974575,-121.991149,3,NaN,No,0,3,None,No,0,No,Yes,Cable,25,Yes,No,Yes,NaN,No,No,No,Yes,Month-to-Month,No,NaN,NaN,107.25,0,0,0,107.25,2
