Customer_ID,Count,Gender,Age,Under_30,Senior_Citizen,Married,Dependents,Number_of_Dependents,Country,State,City,Zip_Code,Lat_Long,Latitude,Longitude,Satisfication_Score,Quarter,Referred_a_Friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Churn_Category,,,,Churn_Category,Monthly_Charge
6585-WCEWR,1,Male,28,Yes,No,Yes,No,0,United States,California,Cupertino,95014,"37.306612, -122.080621",37.306612,-122.080621,NaN,Q3,Yes,1,55,Offer B,Yes,8.8,No,Yes,DSL,48,Yes,Yes,No,Yes,No,No,No,No,Two Year,No,Bank Withdrawal,57.55,3046.4,0,60,484,3590.4,1,,,,1,57.55
6231-WFGFH,1,Male,47,NaN,No,No,No,NaN,United States,California,NaN,95364,"38.224869, -119.755729",38.224869,NaN,1,Q3,No,0,43,Offer B,Yes,49.13,Yes,Yes,Fiber Optic,25,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.85,3365.85,0,NaN,2112.59,5478.44,4,,,,4,77.85
1402-PTHGN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,San Jose,95116,"37.350284, -121.852855",37.350284,-121.852855,1,Q3,No,0,1,None,Yes,42.87,No,Yes,NaN,8,No,No,No,No,No,No,No,No,NaN,Yes,Credit Card,70.45,70.45,0,10,NaN,123.32,1,,,,1,70.45
5609-IMCGG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Carmel Valley,93924,"36.414611, -121.6386",36.414611,-121.6386,3,Q3,Yes,10,66,None,Yes,37.38,NaN,Yes,NaN,NaN,Yes,Yes,No,NaN,No,No,NaN,Yes,One Year,No,Bank Withdrawal,89,5898.6,0,0,2467.08,8365.68,0,,,,0,89
4423-YLHDV,NaN,Male,36,No,No,No,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,Q3,No,0,9,Offer E,Yes,13.72,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.4,181.8,NaN,NaN,123.48,305.28,0,,,,0,20.4
2619-WFQWU,1,Male,24,NaN,No,No,No,0,United States,California,Escondido,92026,"33.21846, -117.116916",33.21846,-117.116916,3,Q3,NaN,0,NaN,None,Yes,34.43,No,Yes,DSL,51,Yes,NaN,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,69.5,NaN,NaN,0,309.87,963.12,0,,,,0,69.5
7021-XSNYE,1,Female,NaN,No,Yes,No,No,NaN,United States,California,San Diego,92126,"32.886925, -117.152162",32.886925,-117.152162,1,Q3,No,0,26,Offer C,Yes,9.09,Yes,Yes,Fiber Optic,12,No,Yes,No,NaN,Yes,No,No,NaN,Month-to-Month,Yes,NaN,89.15,2277.65,0,0,236.34,2513.99,5,,,,5,89.15
7912-SYRQT,1,NaN,NaN,NaN,No,Yes,No,NaN,United States,California,Santa Monica,90403,NaN,34.031529,-118.491156,2,NaN,Yes,4,68,Offer A,Yes,14.79,NaN,Yes,Fiber Optic,47,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NaN,Yes,Bank Withdrawal,110,NaN,NaN,0,1005.72,8617.57,1,,,,1,110
2239-CGBUZ,1,Female,50,No,No,NaN,No,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
8566-YPRGL,1,Female,41,No,No,Yes,No,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,Q3,Yes,3,61,None,Yes,27.63,Yes,Yes,Fiber Optic,29,NaN,No,NaN,Yes,Yes,Yes,Yes,Yes,NaN,NaN,Bank Withdrawal,106.35,6751.35,0,0,1685.43,8436.78,0,,,,0,106.35
3776-EKTKM,NaN,Male,45,No,No,No,NaN,0,United States,California,San Francisco,94116,"37.74441, -122.486764",37.74441,-122.486764,NaN,Q3,No,0,72,None,No,0,No,Yes,Cable,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,65.55,4807.45,0,0,0,4807.45,0,,,,0,65.55
9978-HYCIN,1,Female,35,No,No,No,No,0,United States,California,Covina,91724,NaN,34.08111,-117.853935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
6910-HADCM,NaN,Female,57,No,No,Yes,Yes,1,United States,California,Upland,91784,NaN,NaN,-117.655583,4,Q3,Yes,5,3,Offer E,Yes,23.72,No,Yes,Fiber Optic,NaN,No,No,No,NaN,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.7,239.45,0,0,71.16,310.61,0,,,,0,80.7
4808-YNLEU,1,Male,34,No,No,Yes,No,0,United States,California,San Bernardino,92401,"34.105935, -117.2914",34.105935,-117.2914,2,NaN,Yes,1,54,None,Yes,NaN,No,Yes,Fiber Optic,9,Yes,Yes,Yes,Yes,Yes,NaN,Yes,Yes,Two Year,No,Bank Withdrawal,109.75,NaN,NaN,0,2272.86,8383.06,1,,,,1,109.75
6804-GDMOI,1,Female,69,No,Yes,Yes,No,0,United States,NaN,Berkeley,94703,"37.863843, -122.275684",NaN,-122.275684,NaN,Q3,Yes,2,60,None,NaN,24.62,No,Yes,Fiber Optic,30,Yes,NaN,Yes,Yes,Yes,NaN,No,Yes,Two Year,Yes,Bank Withdrawal,110,6668.35,0,0,NaN,8145.55,0,,,,0,110
5921-NGYRH,1,NaN,57,No,NaN,No,NaN,0,United States,California,Oakland,94603,"37.739113, -122.175602",37.739113,NaN,3,Q3,No,0,12,None,NaN,42.58,Yes,Yes,DSL,22,No,NaN,No,Yes,Yes,Yes,NaN,Yes,One Year,No,Credit Card,74.05,872.65,48.61,0,510.96,1335,5,,,,5,74.05
9711-FJTBX,1,Female,59,No,No,Yes,No,0,United States,California,Dobbins,95935,"39.381174, -121.21191",39.381174,-121.21191,NaN,NaN,NaN,NaN,55,Offer B,Yes,24.93,No,NaN,Fiber Optic,17,Yes,No,No,No,Yes,NaN,Yes,NaN,One Year,Yes,Bank Withdrawal,94.75,5276.1,0,0,NaN,6647.25,0,,,,0,94.75
5850-BDWCY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Salinas,93905,"36.667794, -121.601306",36.667794,-121.601306,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
6668-CNMFP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,Q3,Yes,NaN,46,None,NaN,45.95,No,Yes,Cable,10,Yes,NaN,Yes,NaN,Yes,Yes,Yes,NaN,NaN,No,Mailed Check,81,NaN,0,NaN,NaN,5960.05,0,,,,0,81
6128-AQBMT,1,Male,42,No,No,No,No,0,United States,California,NaN,95567,"41.950683, -124.097094",41.950683,-124.097094,NaN,Q3,No,0,1,None,NaN,1.91,No,NaN,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.7,19.7,0,NaN,1.91,21.61,3,,,,3,19.7
0174-QRVVY,1,Male,25,Yes,No,No,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,Q3,No,0,67,NaN,Yes,33.88,Yes,Yes,Fiber Optic,71,Yes,Yes,Yes,Yes,NaN,Yes,Yes,Yes,Two Year,No,Credit Card,116.2,7752.3,0,0,2269.96,10022.26,5,,,,5,116.2
2774-LVQUS,1,Male,37,No,NaN,Yes,No,0,United States,California,Lytle Creek,92358,"34.238162, -117.534306",34.238162,-117.534306,3,Q3,Yes,6,72,Offer A,Yes,NaN,NaN,Yes,Fiber Optic,14,Yes,No,Yes,Yes,Yes,Yes,NaN,Yes,Two Year,Yes,Credit Card,110.9,8240.85,0,0,NaN,11564.37,0,,,,0,110.9
3195-TQDZX,1,NaN,45,No,No,Yes,No,0,United States,NaN,Oakdale,95361,NaN,37.785033,-120.776141,5,Q3,Yes,2,30,NaN,Yes,22.89,No,No,None,0,No,No,No,No,No,No,NaN,No,NaN,NaN,Credit Card,20.7,NaN,0,0,686.7,1273.8,0,,,,0,20.7
7503-EPSZW,1,NaN,65,NaN,Yes,Yes,No,0,United States,California,Carson,90746,"33.859171, -118.252272",33.859171,-118.252272,3,Q3,Yes,8,22,None,Yes,22.38,No,Yes,Fiber Optic,14,No,No,NaN,No,Yes,NaN,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,NaN,0,0,492.36,2431.26,0,,,,0,89.75
8158-WPEZG,1,NaN,35,No,No,No,No,0,United States,California,La Mesa,91942,"32.782501, -117.01611",32.782501,-117.01611,5,Q3,No,NaN,9,Offer E,Yes,11.5,Yes,Yes,Fiber Optic,14,No,No,NaN,No,Yes,No,No,Yes,NaN,Yes,Bank Withdrawal,85.5,791.7,0,0,NaN,895.2,0,,,,0,85.5
8645-KOMJQ,1,Female,45,No,No,Yes,No,0,United States,California,Lodi,95240,NaN,38.123544,-121.159078,4,Q3,NaN,NaN,48,None,Yes,17.03,Yes,Yes,DSL,15,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,69.55,NaN,NaN,0,817.44,4253.04,0,,,,0,69.55
3523-QRQLL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,La Grange,95329,"37.666587, -120.411517",37.666587,-120.411517,4,NaN,Yes,4,72,Offer A,Yes,44.03,Yes,Yes,Fiber Optic,14,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,NaN,109.2,NaN,0,0,3170.16,10881.61,0,,,,0,109.2
8819-WFGGJ,1,Male,19,Yes,No,Yes,No,0,United States,California,Redondo Beach,90278,"33.873395, -118.37019",33.873395,NaN,4,Q3,Yes,9,67,Offer A,Yes,3.28,Yes,NaN,None,NaN,No,NaN,No,No,No,No,No,No,Two Year,NaN,Credit Card,24.85,1583.5,0,0,219.76,1803.26,0,,,,0,24.85
7153-OANIO,1,Female,36,No,NaN,Yes,NaN,0,United States,California,Butte City,95920,"39.449794, -121.936372",39.449794,-121.936372,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
9173-IVZVP,1,Male,60,No,NaN,Yes,No,NaN,NaN,California,Gustine,95322,"37.147198, -121.120161",37.147198,-121.120161,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
7771-CFQRQ,1,Male,54,No,No,No,No,0,United States,NaN,La Puente,NaN,"34.038983, -117.991372",34.038983,-117.991372,2,Q3,No,0,13,Offer D,Yes,5.43,NaN,Yes,Fiber Optic,26,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,91.1,1135.7,NaN,NaN,70.59,1286.29,3,,,,3,91.1
7956-XQWGU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Fish Camp,93623,NaN,37.483535,-119.679414,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
8316-BBQAY,1,Female,64,No,No,Yes,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,Q3,Yes,1,37,None,NaN,NaN,Yes,Yes,DSL,NaN,Yes,No,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,68.1,2479.25,NaN,0,1123.32,NaN,0,,,,0,68.1
8580-QVLOC,1,Female,31,No,No,No,No,0,United States,California,NaN,93660,NaN,36.600193,NaN,3,Q3,NaN,0,27,NaN,Yes,39.62,No,Yes,NaN,2,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,2383.6,0,0,1069.74,3453.34,0,,,,0,89.2
4065-JJAVA,1,NaN,35,No,No,Yes,No,NaN,United States,NaN,Rancho Cucamonga,91739,"34.133809, -117.523724",34.133809,-117.523724,4,NaN,Yes,1,48,Offer B,Yes,44.72,Yes,Yes,DSL,13,Yes,No,No,NaN,No,No,No,NaN,NaN,Yes,Bank Withdrawal,60.6,NaN,0,100,2146.56,5231.81,0,,,,0,60.6
0203-HHYIJ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Rodeo,94572,"38.027218, -122.23463",38.027218,-122.23463,4,Q3,No,0,12,Offer D,Yes,15.97,No,Yes,Fiber Optic,19,Yes,No,No,No,NaN,No,No,Yes,One Year,Yes,NaN,85.15,979.05,NaN,0,191.64,NaN,0,,,,0,85.15
4210-QFJMF,1,Male,38,No,No,Yes,Yes,1,United States,California,NaN,92028,"33.362575, -117.299644",33.362575,-117.299644,NaN,Q3,Yes,2,70,NaN,Yes,31.78,No,No,None,0,No,NaN,No,No,NaN,No,No,No,Two Year,No,NaN,20.35,1458.1,35.44,0,2224.6,3647.26,0,,,,0,20.35
7643-RCHXS,1,Female,62,NaN,NaN,NaN,No,0,United States,California,Fiddletown,95629,"38.513484, -120.704613",38.513484,-120.704613,3,NaN,NaN,0,27,None,NaN,35.77,No,No,None,0,No,NaN,NaN,No,No,No,No,NaN,Two Year,Yes,Bank Withdrawal,NaN,538.2,0,0,965.79,1503.99,0,,,,0,NaN
2612-RANWT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,California,Red Bluff,96080,"40.186772, -122.388361",40.186772,-122.388361,3,Q3,No,0,18,Offer D,NaN,1.42,No,No,NaN,0,NaN,No,NaN,No,No,No,NaN,No,One Year,NaN,Credit Card,19.65,NaN,0,0,25.56,436.81,0,,,,0,19.65
3450-WXOAT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,NaN,NaN,"40.845738, -120.322219",NaN,-120.322219,NaN,Q3,NaN,0,23,None,Yes,7.11,Yes,No,None,0,NaN,NaN,No,NaN,NaN,No,No,No,Two Year,No,Credit Card,23.85,625.65,NaN,0,163.53,NaN,0,,,,0,23.85
7614-QVWQL,1,Female,NaN,No,No,No,No,0,United States,NaN,Klamath River,NaN,"41.816595, -122.948287",41.816595,-122.948287,NaN,Q3,No,NaN,12,None,Yes,12.75,Yes,Yes,Fiber Optic,NaN,No,No,No,No,NaN,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,1046.1,7.39,120,153,1311.71,4,,,,4,94.2
9058-CBREO,1,Male,22,Yes,No,Yes,No,0,United States,California,Maxwell,95955,"39.281194, -122.226568",39.281194,-122.226568,3,Q3,Yes,2,NaN,NaN,Yes,NaN,Yes,Yes,DSL,41,Yes,Yes,Yes,Yes,NaN,Yes,Yes,Yes,Two Year,No,Credit Card,NaN,5727.15,0,NaN,1280.84,NaN,0,,,,0,NaN
8779-YIQQA,1,NaN,46,NaN,No,No,No,0,United States,California,Los Angeles,90002,"33.949255, -118.246978",33.949255,-118.246978,3,Q3,No,0,34,None,Yes,17.09,No,Yes,DSL,NaN,Yes,No,NaN,No,No,No,No,Yes,One Year,No,Mailed Check,56.95,1889.5,NaN,0,NaN,2470.56,0,,,,0,56.95
9959-WOFKT,1,Male,NaN,No,No,No,No,0,United States,California,Corona,92881,"33.833686, -117.513063",33.833686,-117.513063,3,NaN,NaN,0,11,Offer D,Yes,NaN,No,No,None,0,No,NaN,No,No,No,NaN,No,No,Two Year,NaN,Credit Card,19.55,223.15,26.32,0,188.32,385.15,0,,,,0,19.55
8066-POXGX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,California,Van Nuys,91401,NaN,34.178483,-118.431791,4,NaN,Yes,6,43,None,Yes,21.08,Yes,Yes,NaN,NaN,Yes,Yes,NaN,Yes,NaN,Yes,Yes,Yes,Two Year,NaN,NaN,86.45,3574.5,0,0,906.44,4480.94,0,,,,0,86.45
9752-ZNQUT,1,Male,60,No,No,No,No,0,United States,California,Eureka,95503,"40.737431, -124.108897",40.737431,-124.108897,NaN,Q3,No,0,7,None,Yes,15.51,Yes,Yes,Fiber Optic,23,No,No,NaN,No,Yes,Yes,Yes,Yes,Month-to-Month,NaN,NaN,93.85,635.6,0,NaN,108.57,744.17,1,,,,1,93.85
4877-EVATK,1,Male,51,No,No,NaN,No,NaN,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,4,Q3,No,0,47,Offer B,Yes,40.25,Yes,Yes,Fiber Optic,20,NaN,Yes,No,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,94.8,4535.85,3.34,0,1891.75,6424.26,0,,,,0,94.8
5204-HMGYF,1,Male,66,No,Yes,Yes,No,0,United States,California,NaN,90742,"33.719221, -118.073596",33.719221,-118.073596,3,Q3,Yes,7,71,Offer A,Yes,30.72,Yes,No,None,0,NaN,No,No,No,NaN,No,No,No,NaN,No,Bank Withdrawal,23.95,1756.2,0,0,NaN,3937.32,0,,,,0,23.95
2474-LCNUE,1,Male,28,Yes,NaN,Yes,Yes,3,United States,California,Spring Valley,91977,NaN,32.726627,-116.994608,NaN,NaN,Yes,1,37,NaN,Yes,35.67,No,Yes,DSL,76,Yes,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,58.75,NaN,0,0,1319.79,3522.89,0,,,,0,58.75
0168-XZKBB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Fullerton,NaN,"33.868316, -117.929029",33.868316,-117.929029,3,Q3,Yes,1,5,None,Yes,5.2,No,No,None,0,No,NaN,No,No,No,No,No,No,One Year,No,NaN,20.1,NaN,0,0,26,111.1,0,,,,0,20.1
8637-XJIVR,1,Female,58,No,No,No,No,0,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,1,Q3,No,0,6,Offer E,Yes,47.92,NaN,Yes,Fiber Optic,25,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,NaN,573.3,0,0,287.52,860.82,1,,,,1,NaN
3714-XPXBW,NaN,Male,29,Yes,No,No,NaN,0,United States,California,Windsor,NaN,"38.527297, -122.810044",NaN,-122.810044,3,Q3,No,0,4,None,Yes,46.53,No,No,None,0,No,NaN,No,No,No,NaN,No,No,Month-to-Month,Yes,Bank Withdrawal,20.2,NaN,0,0,186.12,241.82,0,,,,0,20.2
2257-BOVXD,1,Male,42,No,NaN,No,No,0,United States,California,Port Costa,94569,"38.035707, -122.196821",38.035707,-122.196821,1,Q3,No,0,12,None,NaN,7.97,No,Yes,Cable,10,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,NaN,Credit Card,56.65,654.85,0,0,95.64,NaN,4,,,,4,56.65
8393-DLHGA,1,Female,46,NaN,No,Yes,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Q3,Yes,5,27,None,Yes,40.21,No,Yes,DSL,13,NaN,Yes,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,66.15,1874.45,0,0,1085.67,2960.12,0,,,,0,66.15
9702-AIUJO,1,Male,44,No,No,No,Yes,1,United States,California,San Lucas,93954,"36.125529, -120.864443",36.125529,-120.864443,5,NaN,No,0,3,None,Yes,33.87,Yes,No,None,NaN,No,No,No,No,No,No,No,No,NaN,Yes,Credit Card,26.4,121.25,0,NaN,101.61,222.86,0,,,,0,26.4
7508-MYBOG,1,Male,37,No,No,No,No,0,United States,California,Chico,95928,"39.681488, -121.83721",39.681488,-121.83721,NaN,Q3,No,0,31,None,Yes,NaN,NaN,Yes,DSL,3,No,Yes,NaN,Yes,Yes,Yes,NaN,Yes,NaN,Yes,Mailed Check,79.45,2587.7,0,0,208.01,NaN,2,,,,2,79.45
4074-SJFFA,1,Male,66,No,Yes,No,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,Q3,No,0,68,NaN,Yes,19.67,Yes,Yes,Fiber Optic,28,No,Yes,Yes,NaN,No,Yes,No,NaN,Month-to-Month,Yes,Bank Withdrawal,NaN,6503.2,NaN,0,1337.56,7840.76,0,,,,0,NaN
8706-HRADD,1,Male,49,No,No,Yes,No,0,United States,California,Sunnyvale,NaN,NaN,37.421633,-122.009613,3,Q3,Yes,8,45,NaN,Yes,22.8,Yes,Yes,Fiber Optic,15,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,NaN,Credit Card,84.55,3713.95,0,0,1026,4739.95,0,,,,0,84.55
0887-WBJVH,1,Female,54,No,No,No,No,0,United States,California,Hesperia,92345,NaN,34.361387,-117.337509,3,Q3,No,0,15,None,Yes,15.28,No,Yes,Fiber Optic,16,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94,1505.45,0,0,229.2,1734.65,0,,,,0,94
9555-SAHUZ,1,NaN,29,Yes,No,Yes,No,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,Q3,Yes,9,NaN,None,Yes,4.98,No,No,NaN,0,No,No,No,No,No,No,No,No,Month-to-Month,No,NaN,NaN,158.35,0,0,39.84,198.19,0,,,,0,NaN
9465-RWMXL,NaN,NaN,56,NaN,No,Yes,Yes,2,United States,California,Fall River Mills,96028,"41.017282, -121.468945",41.017282,-121.468945,NaN,NaN,Yes,1,7,Offer E,NaN,9.1,Yes,Yes,DSL,28,No,No,No,NaN,No,No,No,Yes,NaN,No,Bank Withdrawal,48.8,NaN,0,0,63.7,413.5,0,,,,0,48.8
2546-KZAAT,1,Male,46,No,No,Yes,Yes,2,United States,California,Lancaster,93535,"34.712708, -117.889656",34.712708,-117.889656,NaN,Q3,Yes,4,7,NaN,No,0,No,Yes,DSL,28,Yes,No,Yes,Yes,No,NaN,Yes,Yes,Two Year,No,NaN,49.65,305.55,0,0,0,305.55,0,,,,0,49.65
5448-VWNAM,1,Male,22,Yes,No,Yes,No,0,United States,NaN,Glendale,91201,"34.17051, -118.289463",34.17051,-118.289463,4,Q3,Yes,NaN,NaN,None,Yes,NaN,No,No,None,0,No,No,No,No,No,No,No,No,One Year,NaN,Credit Card,NaN,1252,0,0,1175.47,2427.47,0,,,,0,NaN
4936-YPJNK,1,Female,28,Yes,NaN,No,No,NaN,NaN,California,San Jacinto,92582,NaN,33.806708,-117.02007,5,Q3,NaN,0,2,None,Yes,15.25,No,Yes,NaN,82,No,No,Yes,No,No,Yes,Yes,NaN,NaN,No,Bank Withdrawal,NaN,111.4,0,0,30.5,141.9,0,,,,0,NaN
9348-YVOMK,1,Male,60,No,No,No,No,0,United States,California,NaN,NaN,"36.654614, -119.903674",36.654614,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
9888-ZCUMM,1,Female,68,No,NaN,No,No,0,NaN,California,Pomona,91768,"34.067932, -117.785168",34.067932,NaN,NaN,Q3,No,0,71,NaN,Yes,3.91,Yes,Yes,Fiber Optic,12,Yes,Yes,No,NaN,Yes,No,No,Yes,One Year,Yes,Credit Card,99.65,7181.25,0,0,277.61,NaN,0,,,,0,99.65
8148-NLEGT,1,Female,37,NaN,No,Yes,No,0,United States,California,San Jose,95117,"37.311088, -121.961786",37.311088,NaN,4,Q3,Yes,1,64,None,Yes,46.44,Yes,NaN,Fiber Optic,NaN,Yes,Yes,Yes,Yes,Yes,NaN,Yes,Yes,One Year,Yes,Bank Withdrawal,NaN,7396.15,0,0,2972.16,10368.31,0,,,,0,NaN
5600-KTXFM,1,Male,42,No,No,Yes,Yes,3,United States,California,Soledad,93960,"36.414216, -121.360597",36.414216,-121.360597,NaN,NaN,Yes,NaN,61,Offer B,Yes,31.49,No,No,None,0,No,No,No,No,NaN,No,No,No,NaN,No,Credit Card,NaN,1226.45,NaN,0,1920.89,3147.34,0,,,,0,NaN
2988-QRAJY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Fiddletown,95629,"38.513484, -120.704613",38.513484,-120.704613,5,Q3,Yes,4,26,Offer C,Yes,NaN,No,Yes,NaN,NaN,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.35,1285.8,0,0,120.12,1405.92,0,,,,0,50.35
4061-UKJWL,1,Male,34,No,NaN,Yes,No,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,Q3,Yes,1,70,Offer A,Yes,29.59,Yes,Yes,Fiber Optic,3,No,Yes,NaN,No,Yes,Yes,Yes,No,Two Year,No,Bank Withdrawal,NaN,NaN,0,20,2071.3,8950.8,1,,,,1,NaN
8718-PTMEZ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,NaN,Los Angeles,90012,"34.065875, -118.238728",34.065875,-118.238728,3,Q3,NaN,0,26,Offer C,Yes,NaN,Yes,Yes,Fiber Optic,48,Yes,Yes,No,NaN,No,No,No,Yes,Month-to-Month,NaN,Credit Card,86.65,2208.75,NaN,0,1296.62,3505.37,0,,,,0,86.65
6298-QDFNH,1,Female,66,NaN,Yes,No,No,0,United States,California,Davis Creek,96108,"41.750354, -120.403885",41.750354,-120.403885,5,Q3,No,0,9,Offer E,Yes,40,Yes,NaN,Fiber Optic,4,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.1,816.8,0,NaN,NaN,1176.8,0,,,,0,90.1
6116-RFVHN,1,Male,26,Yes,NaN,NaN,No,0,United States,California,Sun City,92585,NaN,33.739412,-117.173334,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
7157-SMCFK,1,Female,64,No,No,Yes,No,0,United States,California,Long Beach,90822,"33.778436, -118.118648",33.778436,-118.118648,3,Q3,Yes,1,31,Offer C,Yes,NaN,No,Yes,Fiber Optic,9,No,Yes,No,No,No,Yes,Yes,Yes,NaN,Yes,Bank Withdrawal,83.85,2674.15,11.37,0,NaN,3035.71,0,,,,0,83.85
3519-ZKXGG,1,Female,41,No,No,No,No,0,United States,California,Oakland,94607,"37.80707, -122.297401",37.80707,-122.297401,3,Q3,No,0,72,Offer A,Yes,19.6,NaN,Yes,Fiber Optic,15,Yes,NaN,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,115.05,8405,0,0,NaN,9816.2,0,,,,0,115.05
